,_step,train_accuracy
0,4,0.5027999877929688
1,5,0.5986999869346619
2,6,0.6710999608039856
3,7,0.7026599645614624
4,8,0.6513999700546265
5,9,0.7923799753189087
6,10,0.7866599559783936
7,11,0.8349799513816833
8,12,0.8526999950408936
9,13,0.8945599794387817
10,14,0.8933799862861633
11,15,0.9380799531936646
12,16,0.9250199794769287
13,17,0.9279199838638306
14,18,0.9450199604034424
15,19,0.945099949836731
16,20,0.9380799531936646
17,21,0.9543399810791016
18,22,0.9283199906349182
19,23,0.9625599980354309
20,24,0.9730799794197083
21,25,0.9870799779891968
22,26,0.9746999740600586
23,27,0.9889599680900574
24,28,0.9874999523162842
25,29,0.9847599864006042
26,30,0.9902599453926086
27,31,0.9865399599075317
28,32,0.993619978427887
29,33,0.9941799640655518
30,34,0.9903799891471863
31,35,0.9932799935340881
32,36,0.9923200011253357
33,37,0.9932799935340881
34,38,0.9976999759674072
35,39,0.9923399686813354
36,40,0.9954800009727478
37,41,0.9957000017166138
38,42,0.9973199963569641
39,43,0.996239960193634
40,44,0.9888399839401245
41,45,0.9968799948692322
42,46,0.9957399964332581
43,47,0.9971199631690979
44,48,0.99617999792099
45,49,0.998699963092804
46,50,0.9974199533462524
47,51,0.9959200024604797
48,52,0.9989999532699585
49,53,0.9986400008201599
50,54,0.9984399676322937
51,55,0.9968999624252319
52,56,0.9986599683761597
53,57,0.9994399547576904
54,58,0.9983999729156494
55,59,0.9963199496269226
56,60,0.9935599565505981
57,61,0.9962999820709229
58,62,0.9976999759674072
59,63,0.9990800023078918
60,64,0.9970399737358093
61,65,0.9976199865341187
62,66,0.9943599700927734
63,67,0.9982999563217163
64,68,0.9980199933052063
65,69,0.9985999464988708
66,70,0.9989799857139587
67,71,0.9975999593734741
68,72,0.9996599555015564
69,73,0.998699963092804
70,74,0.9990800023078918
71,75,0.9985999464988708
72,76,0.9991799592971802
73,77,0.9983799457550049
74,78,0.9989999532699585
75,79,0.9984999895095825
76,80,0.9984999895095825
77,81,0.9987599849700928
78,82,0.998420000076294
79,83,0.9994399547576904
80,84,0.9985199570655823
81,85,0.9997599720954895
82,86,0.9998999834060669
83,87,0.9996999502182007
84,88,0.9942999482154846
85,89,0.9990599751472473
86,90,0.9998199939727783
87,91,0.9998799562454224
88,92,0.999779999256134
89,93,0.9996199607849121
90,94,0.9999199509620667
91,95,0.9998999834060669
92,96,0.9999199509620667
93,97,1.0
94,98,1.0
95,99,0.9999799728393555
96,100,0.9999799728393555
97,101,1.0
98,102,0.9999799728393555
99,103,1.0
