,_step,train_ppl
0,4,2087.941562074576
1,5,1552.9194166008863
2,6,1335.044382446303
3,7,1195.7746348954709
4,8,1098.0785943376889
5,9,1025.1883419235578
6,10,967.9680454271885
7,11,920.7512950588608
8,12,881.6294248026064
9,13,848.5390520376503
10,14,819.1736235021784
11,15,793.4128840186335
12,16,769.1442636074813
13,17,747.2985279554092
14,18,726.1331712455938
15,19,704.431841324074
16,20,684.0485160078584
17,21,666.3122217912262
18,22,650.7027439213989
19,23,635.0591476889806
20,24,621.2940959410317
21,25,607.4591701368345
22,26,594.7616142128293
23,27,582.932437691487
24,28,571.2539630532115
25,29,560.3828754914132
26,30,550.1875646855359
27,31,539.8587754972738
28,32,530.5804690571463
29,33,521.8353638915079
30,34,513.1682833045111
31,35,504.9109271339093
32,36,497.06587521070446
33,37,489.46480315692975
34,38,482.4898705560438
35,39,475.339835564686
36,40,468.964312921975
37,41,462.2511932817258
38,42,455.94706020228404
39,43,450.14796074914324
40,44,444.19641140464034
41,45,438.7494819437219
42,46,433.0074402575428
43,47,428.13800417877326
44,48,422.79786181586616
45,49,418.036002916094
46,50,413.5007557506103
47,51,408.5761550609948
48,52,404.06905210179804
49,53,399.923055176152
50,54,395.7727705137646
51,55,391.0139631147719
52,56,387.12675248694336
53,57,383.24318651129676
54,58,379.1701736709006
55,59,375.39558476525593
56,60,371.6591933787702
57,61,368.32775885009613
58,62,364.51583223376895
59,63,361.0772496267569
60,64,357.3827451534318
61,65,353.95356942033294
62,66,350.8162077741709
63,67,347.8673134646027
64,68,344.96649898083547
65,69,341.57615922427533
66,70,338.7307748152807
67,71,336.0410804012031
68,72,332.7890319047469
69,73,329.95982439734405
70,74,327.0478877208753
71,75,324.20813006653833
72,76,321.7374837225131
73,77,319.23548648736784
74,78,316.6816549665067
75,79,313.93217796049237
76,80,311.77399869554915
77,81,309.22093478858187
78,82,306.54206989658667
79,83,304.564280226433
80,84,302.3556244902805
81,85,299.5501964895137
82,86,297.55583977839024
83,87,295.4435174081036
84,88,293.32679111044115
85,89,290.9350716988827
86,90,289.1216674134046
87,91,286.64543977144183
88,92,284.74782942548944
89,93,282.8928061475444
90,94,280.8468602272453
91,95,278.83625027963166
92,96,276.82432642381156
93,97,274.9896956455273
94,98,273.10430558504606
95,99,271.3128149277887
96,100,269.3066031124258
97,101,267.7437855771768
98,102,265.75456197456384
99,103,264.0431090496319
