,_step,training_loss
0,3,11.44456628033572
1,4,4.243569406402081
2,5,3.652207946533437
3,6,3.6129046888912426
4,7,3.4565693588208055
5,8,3.514255727343547
6,9,3.1526347810350113
7,10,2.91271435818099
8,11,2.7043983844844885
9,12,2.538556169975749
10,13,2.3271430307032204
11,14,2.3038393731617255
12,15,2.2701156840604892
13,16,1.9002650314584717
14,17,1.5928505835935587
15,18,1.4156810824218613
16,19,1.424905196175246
17,20,0.8897309018217999
18,21,0.5464577260224716
19,22,0.4794673673484636
20,23,0.6038624030702254
21,24,0.24127185586697
22,25,0.1861125549963673
23,26,0.14897777126801898
24,27,0.23837767814850563
25,28,0.20567662247916316
26,29,0.17481876624857678
27,30,0.12451195209989767
28,31,0.09669492373247739
29,32,0.12349525912452841
30,33,0.18562874272275154
31,34,0.1447141891931329
32,35,0.22188062388497545
33,36,0.08244776181266893
34,37,0.10356301577556926
35,38,0.28347736148311353
36,39,0.06875430961684956
37,40,0.0370025962360127
38,41,0.038815271831058026
39,42,0.12597982873163566
40,43,0.09320162195245475
41,44,0.07561925082893857
42,45,0.06290076954333144
43,46,0.130492200079324
44,47,0.09085241571554671
45,48,0.04519886064612309
46,49,0.027112586543445127
47,50,0.08076328477557854
48,51,0.07658523168948377
49,52,0.05106913610873625
50,53,0.05288221440432817
51,54,0.06704042623500767
52,55,0.06220387161144858
53,56,0.048170446955344025
54,57,0.10024088290531921
55,58,0.046742921946403546
56,59,0.03370833373926294
57,60,0.02881236252663157
58,61,0.04220417923594127
59,62,0.051533397010830054
60,63,0.0605423183268522
61,64,0.0924840271115646
62,65,0.030625114597908943
63,66,0.02539841108955443
64,67,0.028694439069618046
65,68,0.051162401697767514
66,69,0.054672709948447584
67,70,0.04732320308947312
68,71,0.039473487725814854
69,72,0.04843968473484411
70,73,0.03369170211284133
71,74,0.03658964029153633
72,75,0.05044037751410433
73,76,0.0520734401959259
74,77,0.03322648136463264
75,78,0.02361276515808952
76,79,0.030981741007476988
77,80,0.041092193038190915
78,81,0.052221764470367214
79,82,0.039556117536014186
80,83,0.03939943538164086
81,84,0.02219448993970995
82,85,0.024125057498446862
83,86,0.026914467967217765
84,87,0.0436062471431387
85,88,0.0479653551257537
86,89,0.044657114579382796
87,90,0.03240685260859425
88,91,0.01959706634974412
89,92,0.022347973737641788
90,93,0.038405646740630406
91,94,0.03612734688549538
92,95,0.03188495890920996
93,96,0.027780806895701542
94,97,0.03015048157074191
95,98,0.025338241291861227
96,99,0.023387109435311117
97,100,0.029979688848447428
98,101,0.04430755619775466
99,102,0.028608110528338053
100,103,0.02424901721271379
