,_step,training_loss
0,3,8.39934600039821
1,4,5.097957397056053
2,5,3.995497048053595
3,6,3.6137953517991868
4,7,3.24376298643439
5,8,2.9641913922546466
6,9,2.720926268936118
7,10,2.542306501847094
8,11,2.334139688240598
9,12,2.5276424793331214
10,13,2.470319204013366
11,14,2.2210579653225286
12,15,2.042830304111666
13,16,1.795238332370358
14,17,1.7729249994468201
15,18,1.5363981214630635
16,19,1.697061034267211
17,20,1.2889959069773973
18,21,1.218640961153123
19,22,0.9123214867413806
20,23,0.7946197626840733
21,24,0.6890965360967095
22,25,0.9256539513997715
23,26,0.6602258892239207
24,27,0.45744781649631
25,28,0.48997097807314693
26,29,0.5447895878644855
27,30,0.2178445602469432
28,31,0.20597677285332813
29,32,0.4738596689594371
30,33,0.3449225145227769
31,34,0.375689287567535
32,35,0.3193289843933357
33,36,0.39987846199051497
34,37,0.20724477337868621
35,38,0.20390746394729675
36,39,0.2939555621074746
37,40,0.14123126536683964
38,41,0.11161599145330431
39,42,0.21013578314267461
40,43,0.1327848558164085
41,44,0.15791405735494535
42,45,0.13906627723856654
43,46,0.20726519029425539
44,47,0.4544675622726112
45,48,0.5500205957790469
46,49,0.08224747722487316
47,50,0.0532287702397884
48,51,0.10860228038373906
49,52,0.08502142605564707
50,53,0.071555043601662
51,54,0.07296175374875745
52,55,0.09596941135156795
53,56,0.11243260266911953
54,57,0.10960057611955935
55,58,0.1214654097319259
56,59,0.11251198230049266
57,60,0.11027739713411502
58,61,0.0988912336228182
59,62,0.10492923188611598
60,63,0.10596628671469134
61,64,0.1014935221985135
62,65,0.09629778710939467
63,66,0.11673504726537277
64,67,0.10960137287793142
65,68,0.1031965177823001
66,69,0.06681582679414688
67,70,0.06873555682704348
68,71,0.09478315893891733
69,72,0.1010217121504533
70,73,0.11927634211199935
71,74,0.11008759931830303
72,75,0.07713970503367273
73,76,0.0619130738501144
74,77,0.0981888901519701
75,78,0.10101962890094884
76,79,0.09231478811951492
77,80,0.07027300102624309
78,81,0.07520184811482163
79,82,0.07904753728669679
80,83,0.09610108482529936
81,84,0.08609642145102439
82,85,0.1018229764517006
83,86,0.11950239601790372
84,87,0.07960393230723756
85,88,0.06689766142576875
86,89,0.07324413209022178
87,90,0.07136740970075169
88,91,0.08376923506088613
89,92,0.06352901246870303
90,93,0.11071297731321982
91,94,0.08952517304188379
92,95,0.0582837158633346
93,96,0.05116614397428215
94,97,0.06857242579202709
95,98,0.0818384031716334
96,99,0.0802281699101667
97,100,0.0865692933425879
98,101,0.08729770170379421
99,102,0.06210040216616419
100,103,0.08193185602140891
