,_step,train_accuracy
0,4,0.4759399890899658
1,5,0.553059995174408
2,6,0.6516000032424927
3,7,0.7218799591064453
4,8,0.7551400065422058
5,9,0.7995799779891968
6,10,0.8485199809074402
7,11,0.8674799799919128
8,12,0.8890399932861328
9,13,0.9330199956893921
10,14,0.9421599507331848
11,15,0.9537999629974365
12,16,0.9372199773788452
13,17,0.9628799557685852
14,18,0.9751999974250793
15,19,0.9777999520301819
16,20,0.976859986782074
17,21,0.9792400002479553
18,22,0.9785999655723572
19,23,0.9813999533653259
20,24,0.9843799471855164
21,25,0.9877399802207947
22,26,0.9484999775886536
23,27,0.9886199831962585
24,28,0.9865999817848206
25,29,0.9896799921989441
26,30,0.9854999780654907
27,31,0.9864999651908875
28,32,0.9875399470329285
29,33,0.9910399913787842
30,34,0.9878399968147278
31,35,0.9894199967384338
32,36,0.9896599650382996
33,37,0.9910599589347839
34,38,0.9825199842453003
35,39,0.9937599897384644
36,40,0.989139974117279
37,41,0.9883399605751038
38,42,0.9876399636268616
39,43,0.9928799867630005
40,44,0.9924599528312683
41,45,0.9945999979972839
42,46,0.9890999794006348
43,47,0.9909199476242065
44,48,0.9955799579620361
45,49,0.9066599607467651
46,50,0.8795599937438965
47,51,0.9975000023841858
48,52,0.9989599585533142
49,53,0.9994999766349792
50,54,0.9997999668121338
51,55,0.9980599880218506
52,56,0.9928999543190002
53,57,0.9932399988174438
54,58,0.9962799549102783
55,59,0.9970999956130981
56,60,0.994159996509552
57,61,0.9947999715805054
58,62,0.9936999678611755
59,63,0.9965199828147888
60,64,0.9939799904823303
61,65,0.9803599715232849
62,66,0.9980999827384949
63,67,0.9994999766349792
64,68,0.9987199902534485
65,69,0.9955399632453918
66,70,0.9929800033569336
67,71,0.9973599910736084
68,72,0.9948399662971497
69,73,0.9978599548339844
70,74,0.9910999536514282
71,75,0.9964799880981445
72,76,0.9962199926376343
73,77,0.9891999959945679
74,78,0.9968400001525879
75,79,0.9977799654006958
76,80,0.9911999702453613
77,81,0.9959799647331238
78,82,0.9952999949455261
79,83,0.996679961681366
80,84,0.9967599511146545
81,85,0.9957599639892578
82,86,0.9975999593734741
83,87,0.9950599670410156
84,88,0.9916200041770935
85,89,0.9988199472427368
86,90,0.997979998588562
87,91,0.9960199594497681
88,92,0.9982399940490723
89,93,0.99617999792099
90,94,0.9978199601173401
91,95,0.9981599450111389
92,96,0.9968599677085876
93,97,0.996679961681366
94,98,0.9973399639129639
95,99,0.9976399540901184
96,100,0.9947800040245056
97,101,0.9986400008201599
98,102,0.9972399473190308
99,103,0.9970399737358093
