,_step,train_accuracy
0,4,0.008979999460279942
1,5,0.012079999782145023
2,6,0.012159999459981918
3,7,0.01261999923735857
4,8,0.0129399998113513
5,9,0.0139999995008111
6,10,0.015199999324977398
7,11,0.016099998727440834
8,12,0.01703999936580658
9,13,0.016979999840259552
10,14,0.016920000314712524
11,15,0.019120000302791595
12,16,0.01947999931871891
13,17,0.01947999931871891
14,18,0.020059999078512192
15,19,0.02167999930679798
16,20,0.021779999136924744
17,21,0.0221599992364645
18,22,0.023240000009536743
19,23,0.024279998615384102
20,24,0.023419998586177826
21,25,0.026239998638629913
22,26,0.026819998398423195
23,27,0.028139999136328697
24,28,0.027879999950528145
25,29,0.028619999065995216
26,30,0.030879998579621315
27,31,0.03059999831020832
28,32,0.031700000166893005
29,33,0.03342000022530556
30,34,0.03384000062942505
31,35,0.03367999941110611
32,36,0.03689999878406525
33,37,0.03545999899506569
34,38,0.038100000470876694
35,39,0.038739997893571854
36,40,0.03954000025987625
37,41,0.04025999829173088
38,42,0.041839998215436935
39,43,0.042899999767541885
40,44,0.045239999890327454
41,45,0.045879997313022614
42,46,0.04608000069856644
43,47,0.049539998173713684
44,48,0.049959998577833176
45,49,0.05245999991893768
46,50,0.052319999784231186
47,51,0.05305999889969826
48,52,0.05583999678492546
49,53,0.05714000016450882
50,54,0.0589199997484684
51,55,0.06047999858856201
52,56,0.06063999980688095
53,57,0.06317999958992004
54,58,0.063960000872612
55,59,0.063960000872612
56,60,0.06583999842405319
57,61,0.06656000018119812
58,62,0.06901999562978745
59,63,0.07067999988794327
60,64,0.07093999534845352
61,65,0.07249999791383743
62,66,0.0751199945807457
63,67,0.07527999579906464
64,68,0.07699999958276749
65,69,0.07977999746799469
66,70,0.08035999536514282
67,71,0.08091999590396881
68,72,0.08611999452114105
69,73,0.08363999426364899
70,74,0.08593999594449997
71,75,0.08799999952316284
72,76,0.08895999938249588
73,77,0.09009999781847
74,78,0.09200000017881393
75,79,0.09331999719142914
76,80,0.09421999752521515
77,81,0.09727999567985535
78,82,0.09713999927043915
79,83,0.09873999655246735
80,84,0.10171999782323837
81,85,0.1030999943614006
82,86,0.10433999449014664
83,87,0.1056399941444397
84,88,0.10819999873638153
85,89,0.1089399978518486
86,90,0.10985999554395676
87,91,0.1117199957370758
88,92,0.11401999741792679
89,93,0.11295999586582184
90,94,0.11559999734163284
91,95,0.11883999407291412
92,96,0.11705999821424484
93,97,0.12015999853610992
94,98,0.12361999601125717
95,99,0.12581999599933624
96,100,0.12559999525547028
97,101,0.12647999823093414
98,102,0.12597998976707458
99,103,0.12770000100135803
