,_step,train_accuracy
0,4,0.021239999681711197
1,5,0.11031999439001083
2,6,0.198419988155365
3,7,0.24643999338150024
4,8,0.2757599949836731
5,9,0.2952599823474884
6,10,0.3114999830722809
7,11,0.32933998107910156
8,12,0.3446999788284302
9,13,0.3581399917602539
10,14,0.3709000051021576
11,15,0.38269999623298645
12,16,0.39419999718666077
13,17,0.40417999029159546
14,18,0.41499999165534973
15,19,0.42659997940063477
16,20,0.4364999830722809
17,21,0.4477199912071228
18,22,0.45659998059272766
19,23,0.4661400020122528
20,24,0.4755599796772003
21,25,0.48495998978614807
22,26,0.4939799904823303
23,27,0.5037199854850769
24,28,0.5136799812316895
25,29,0.5216999650001526
26,30,0.5311999917030334
27,31,0.5402199625968933
28,32,0.5488399863243103
29,33,0.5583800077438354
30,34,0.5669400095939636
31,35,0.5758199691772461
32,36,0.5846799612045288
33,37,0.5912399888038635
34,38,0.5985400080680847
35,39,0.6105999946594238
36,40,0.6168000102043152
37,41,0.623699963092804
38,42,0.6345599889755249
39,43,0.6437199711799622
40,44,0.6531800031661987
41,45,0.6619200110435486
42,46,0.6697799563407898
43,47,0.6765199899673462
44,48,0.6845799684524536
45,49,0.6914399862289429
46,50,0.7025799751281738
47,51,0.7094999551773071
48,52,0.7190200090408325
49,53,0.725659966468811
50,54,0.7318599820137024
51,55,0.7420399785041809
52,56,0.7469599843025208
53,57,0.7549399733543396
54,58,0.7662799954414368
55,59,0.7725399732589722
56,60,0.7786999940872192
57,61,0.779699981212616
58,62,0.7910799980163574
59,63,0.8021399974822998
60,64,0.8072599768638611
61,65,0.815019965171814
62,66,0.8240999579429626
63,67,0.8307999968528748
64,68,0.8357599973678589
65,69,0.8419399857521057
66,70,0.8477399945259094
67,71,0.8548199534416199
68,72,0.8624599575996399
69,73,0.8684200048446655
70,74,0.8750999569892883
71,75,0.8809199929237366
72,76,0.88646000623703
73,77,0.8906999826431274
74,78,0.8955999612808228
75,79,0.903439998626709
76,80,0.9087599515914917
77,81,0.910319983959198
78,82,0.9141799807548523
79,83,0.9220199584960938
80,84,0.9245399832725525
81,85,0.9242199659347534
82,86,0.9298399686813354
83,87,0.9376800060272217
84,88,0.9419800043106079
85,89,0.9416999816894531
86,90,0.9481799602508545
87,91,0.9515199661254883
88,92,0.9538599848747253
89,93,0.9584800004959106
90,94,0.961959958076477
91,95,0.9634400010108948
92,96,0.9658199548721313
93,97,0.9679200053215027
94,98,0.9711999893188477
95,99,0.9727399945259094
96,100,0.9741799831390381
97,101,0.9735399484634399
98,102,0.9788199663162231
99,103,0.9808599948883057
