,_step,train_ppl
0,4,664.2048131252238
1,5,415.49800878347986
2,6,316.1881976548336
3,7,261.2700718459049
4,8,226.80486030739345
5,9,202.00381130850002
6,10,183.18254197282312
7,11,167.68502329370656
8,12,154.29793797315034
9,13,144.94481649511417
10,14,134.6544567790455
11,15,127.47353827337028
12,16,119.51877373251857
13,17,113.02145113807472
14,18,107.87856553795571
15,19,103.56880474511037
16,20,97.3262930194606
17,21,93.151176049088
18,22,89.16369818709323
19,23,86.0295368993162
20,24,83.14606479794503
21,25,78.60831107160263
22,26,77.63579561124607
23,27,73.42678646540705
24,28,70.30996903451333
25,29,67.76681272646121
26,30,65.05792332000392
27,31,63.73287302108956
28,32,60.64042898966417
29,33,59.115246103735096
30,34,56.70161752605849
31,35,55.771995218925035
32,36,53.26241723520875
33,37,51.60333656346583
34,38,50.00283850889243
35,39,48.40116951398126
36,40,46.35885610560658
37,41,45.35237137500287
38,42,44.27535282111298
39,43,42.80121851306067
40,44,41.18215590732852
41,45,39.93431805075173
42,46,38.634215586581206
43,47,37.8691377116006
44,48,36.44740591821782
45,49,35.460457773329985
46,50,34.58352745202949
47,51,33.745808482444446
48,52,32.55603622492385
49,53,31.7615292060675
50,54,30.36414469917195
51,55,29.761877078795454
52,56,28.906162795908827
53,57,28.361917600767196
54,58,27.239447256669333
55,59,26.645016725634964
56,60,25.971365724106352
57,61,24.96068149918624
58,62,24.34710174184868
59,63,23.473155350805172
60,64,22.910955485107017
61,65,22.328289293178155
62,66,21.58682107755782
63,67,20.962657457313377
64,68,20.44443017233685
65,69,19.867888844345284
66,70,19.701932819689926
67,71,19.009987589898834
68,72,18.38889432336359
69,73,18.05434185767602
70,74,17.55023605513174
71,75,16.987097574822386
72,76,16.700134073285867
73,77,16.038932729872936
74,78,15.717418549935841
75,79,15.277854639954526
76,80,14.830242975156287
77,81,14.434908449550822
78,82,14.219786398450374
79,83,13.705237574673317
80,84,13.482375593806168
81,85,13.166825550639402
82,86,12.746649240552902
83,87,12.489402738886342
84,88,12.143435716258642
85,89,11.836322883194516
86,90,11.566358723004045
87,91,11.282683746079666
88,92,11.016732194766684
89,93,10.73596413201452
90,94,10.436746241462494
91,95,10.233110582339574
92,96,9.980224884540403
93,97,9.812000634416616
94,98,9.501070534806168
95,99,9.316854296709776
96,100,9.06286745990709
97,101,8.89284201868936
98,102,8.746083737157266
99,103,8.46851443286556
