,_step,train_accuracy
0,4,0.09736666828393936
1,5,0.11236666887998581
2,6,0.10441666841506958
3,7,0.09751667082309723
4,8,0.09915000200271606
5,9,0.09736666828393936
6,10,0.10218333452939987
7,11,0.10441666841506958
8,12,0.09871666878461838
9,13,0.09751667082309723
10,14,0.09930000454187393
11,15,0.09751667082309723
12,16,0.11236666887998581
13,17,0.09871666878461838
14,18,0.09736666828393936
15,19,0.09863333404064178
16,20,0.09871666878461838
17,21,0.09736666828393936
18,22,0.11236666887998581
19,23,0.09915000200271606
20,24,0.11236666887998581
21,25,0.09035000205039978
22,26,0.09035000205039978
23,27,0.10218333452939987
24,28,0.10218333452939987
25,29,0.09751667082309723
26,30,0.09930000454187393
27,31,0.09751667082309723
28,32,0.09863333404064178
29,33,0.09751667082309723
30,34,0.09736666828393936
31,35,0.11236666887998581
32,36,0.09863333404064178
33,37,0.09915000200271606
34,38,0.09871666878461838
35,39,0.09736666828393936
36,40,0.10218333452939987
37,41,0.10441666841506958
38,42,0.11236666887998581
39,43,0.09871666878461838
40,44,0.09863333404064178
41,45,0.09915000200271606
42,46,0.09871666878461838
43,47,0.09915000200271606
44,48,0.09751667082309723
45,49,0.09863333404064178
46,50,0.09736666828393936
47,51,0.11236666887998581
48,52,0.11236666887998581
49,53,0.11236666887998581
50,54,0.10218333452939987
51,55,0.09035000205039978
52,56,0.09736666828393936
53,57,0.10218333452939987
54,58,0.09930000454187393
55,59,0.10441666841506958
56,60,0.09751667082309723
57,61,0.09871666878461838
58,62,0.09035000205039978
59,63,0.09915000200271606
60,64,0.09751667082309723
61,65,0.09915000200271606
62,66,0.11236666887998581
63,67,0.10218333452939987
64,68,0.11236666887998581
65,69,0.09915000200271606
66,70,0.09930000454187393
67,71,0.09863333404064178
68,72,0.09035000205039978
69,73,0.11236666887998581
70,74,0.09035000205039978
71,75,0.09915000200271606
72,76,0.09751667082309723
73,77,0.09736666828393936
74,78,0.09863333404064178
75,79,0.09871666878461838
76,80,0.09915000200271606
77,81,0.11236666887998581
78,82,0.09035000205039978
79,83,0.09871666878461838
80,84,0.09915000200271606
81,85,0.10441666841506958
82,86,0.11236666887998581
83,87,0.09915000200271606
84,88,0.09751667082309723
85,89,0.09863333404064178
86,90,0.10441666841506958
87,91,0.09736666828393936
88,92,0.09035000205039978
89,93,0.09930000454187393
90,94,0.10441666841506958
91,95,0.09930000454187393
92,96,0.09035000205039978
93,97,0.09915000200271606
94,98,0.10441666841506958
95,99,0.10218333452939987
96,100,0.09871666878461838
97,101,0.10218333452939987
98,102,0.09751667082309723
99,103,0.11236666887998581
