,_step,train_accuracy
0,4,0.11140000075101852
1,5,0.11828333139419556
2,6,0.1257166713476181
3,7,0.13358333706855774
4,8,0.14110000431537628
5,9,0.1492166668176651
6,10,0.15950000286102295
7,11,0.1724500060081482
8,12,0.188400000333786
9,13,0.20668333768844604
10,14,0.22633333504199982
11,15,0.2467166632413864
12,16,0.2659333348274231
13,17,0.28209999203681946
14,18,0.29508334398269653
15,19,0.3064333498477936
16,20,0.3159500062465668
17,21,0.32429999113082886
18,22,0.3305833339691162
19,23,0.33633333444595337
20,24,0.34503334760665894
21,25,0.3590833246707916
22,26,0.3762666583061218
23,27,0.3900333344936371
24,28,0.40093332529067993
25,29,0.4093833267688751
26,30,0.41663333773612976
27,31,0.4229166805744171
28,32,0.4285833239555359
29,33,0.43264999985694885
30,34,0.4353666603565216
31,35,0.43646666407585144
32,36,0.4380333423614502
33,37,0.4395666718482971
34,38,0.4401499927043915
35,39,0.44040000438690186
36,40,0.4409500062465668
37,41,0.4413500130176544
38,42,0.4415999948978424
39,43,0.4421166777610779
40,44,0.4425166845321655
41,45,0.44385001063346863
42,46,0.44495001435279846
43,47,0.4474833309650421
44,48,0.45000001788139343
45,49,0.4533333480358124
46,50,0.45680001378059387
47,51,0.46033334732055664
48,52,0.46463334560394287
49,53,0.4693000018596649
50,54,0.47429999709129333
51,55,0.47973334789276123
52,56,0.4860000014305115
53,57,0.49156665802001953
54,58,0.49738332629203796
55,59,0.503433346748352
56,60,0.5094500184059143
57,61,0.515666663646698
58,62,0.5224833488464355
59,63,0.5286666750907898
60,64,0.5346166491508484
61,65,0.5412333607673645
62,66,0.5463166832923889
63,67,0.5515000224113464
64,68,0.5563666820526123
65,69,0.5612166523933411
66,70,0.5659999847412109
67,71,0.570816695690155
68,72,0.5754333138465881
69,73,0.580216646194458
70,74,0.5839833617210388
71,75,0.5874500274658203
72,76,0.5903666615486145
73,77,0.5938833355903625
74,78,0.5975333452224731
75,79,0.6010333299636841
76,80,0.6040833592414856
77,81,0.6068833470344543
78,82,0.6102166771888733
79,83,0.6133999824523926
80,84,0.6167333126068115
81,85,0.6203500032424927
82,86,0.6238166689872742
83,87,0.6272166967391968
84,88,0.6302666664123535
85,89,0.6334333419799805
86,90,0.636900007724762
87,91,0.6398000121116638
88,92,0.6434000134468079
89,93,0.6468999981880188
90,94,0.6505166888237
91,95,0.653950035572052
92,96,0.6577000021934509
93,97,0.661300003528595
94,98,0.6648499965667725
95,99,0.6690999865531921
96,100,0.6729333400726318
97,101,0.676716685295105
98,102,0.6807833313941956
99,103,0.6849499940872192
