,_step,train_accuracy
0,4,0.018400000408291817
1,5,0.025119999423623085
2,6,0.0334399975836277
3,7,0.04189999774098396
4,8,0.051819998770952225
5,9,0.06340000033378601
6,10,0.0756400004029274
7,11,0.084259994328022
8,12,0.09251999855041504
9,13,0.10297999531030655
10,14,0.1141199991106987
11,15,0.12581999599933624
12,16,0.13738000392913818
13,17,0.14739999175071716
14,18,0.1604599952697754
15,19,0.17226000130176544
16,20,0.18320000171661377
17,21,0.2014399915933609
18,22,0.20805999636650085
19,23,0.22540000081062317
20,24,0.23759999871253967
21,25,0.25496000051498413
22,26,0.26593998074531555
23,27,0.27838000655174255
24,28,0.29778000712394714
25,29,0.31676000356674194
26,30,0.33434000611305237
27,31,0.34821999073028564
28,32,0.3665199875831604
29,33,0.3850399851799011
30,34,0.40004000067710876
31,35,0.42207998037338257
32,36,0.44061997532844543
33,37,0.4627399742603302
34,38,0.4751800000667572
35,39,0.4910999834537506
36,40,0.5204600095748901
37,41,0.5418599843978882
38,42,0.5482199788093567
39,43,0.5801999568939209
40,44,0.594539999961853
41,45,0.6213799715042114
42,46,0.640779972076416
43,47,0.6553399562835693
44,48,0.6682599782943726
45,49,0.7042199969291687
46,50,0.7140199542045593
47,51,0.729699969291687
48,52,0.7325199842453003
49,53,0.7785599827766418
50,54,0.7914199829101562
51,55,0.8059200048446655
52,56,0.8168399930000305
53,57,0.836679995059967
54,58,0.845579981803894
55,59,0.8643800020217896
56,60,0.8687799572944641
57,61,0.8889600038528442
58,62,0.8980199694633484
59,63,0.9125399589538574
60,64,0.8990399837493896
61,65,0.9280399680137634
62,66,0.936199963092804
63,67,0.9420999884605408
64,68,0.9526399970054626
65,69,0.9573599696159363
66,70,0.9569799900054932
67,71,0.9681999683380127
68,72,0.9677000045776367
69,73,0.9738399982452393
70,74,0.9781999588012695
71,75,0.9788199663162231
72,76,0.9854799509048462
73,77,0.9872399568557739
74,78,0.9868599772453308
75,79,0.9902199506759644
76,80,0.9909399747848511
77,81,0.9930999875068665
78,82,0.9957599639892578
79,83,0.9958199858665466
80,84,0.9961599707603455
81,85,0.9949999451637268
82,86,0.9952999949455261
83,87,0.9979400038719177
84,88,0.9983199834823608
85,89,0.9980599880218506
86,90,0.9986599683761597
87,91,0.9988600015640259
88,92,0.9989799857139587
89,93,0.9987199902534485
90,94,0.9973799586296082
91,95,0.9992799758911133
92,96,0.9992199540138245
93,97,0.9989599585533142
94,98,0.9994399547576904
95,99,0.9996199607849121
96,100,0.9993199706077576
97,101,0.9995200037956238
98,102,0.9992799758911133
99,103,0.9993999600410461
