,name,id,device,dataset,_runtime,max_epoch,_timestamp,batch_size,hash,seed,trained_norms,full_batch,model_args,train_exact_f1,epoch_training_time,epoch,loss_func,training_loss,accumulate_steps,model,metrics,train_exact_match,opt,_step,valid_exact_f1,valid_exact_match,train_ppl,training_error,train_accuracy,valid_accuracy,drop_last,n,valid_ppl,step_size,init_noise_norm,log_every_step,grad_norm,debug,noise_norm_train,train_run_iter,initial_run_iter,train_mse,valid_mse
21,faithful-wood-8881,3bvxkulb,cuda,squad,17122.0,80,1629379157.0,24.0,2b742a501c324b6f35bfd9967a76ba5d,4.0,False,True,"{'tgt_len': 384, 'doc_stride': 128}",99.36542656541808,126.7951159477234,79.0,logloss,0.0241928383911727,256.0,bert_base_pretrained,"['f1', 'exact_match']",99.0234375,"{'b1': 0, 'b2': 0.999, 'name': 'Adam', 'alpha': 0.0001}",83.0,,,,,,,,,,,,,,,,,,,
22,rare-disco-8880,339u5olk,cuda,squad,17837.0,80,1629379872.0,24.0,213541e9d1470827edc99921074729aa,4.0,False,True,"{'tgt_len': 384, 'doc_stride': 128}",81.28368398048816,128.6682379245758,79.0,logloss,0.9191878554411232,256.0,bert_base_pretrained,"['f1', 'exact_match']",68.22916666666667,"{'name': 'SGD', 'alpha': 0.05}",83.0,,,,,,,,,,,,,,,,,,,
23,fresh-cosmos-8879,g70kexy0,cuda,squad,17957.0,4,1629368280.0,24.0,f4625f5df85c1871253a6d321a32084a,2.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",8.461053746980351,2844.841555118561,3.0,logloss,4.67589814111733,,bert_base_pretrained,"['f1', 'exact_match']",1.630155595383509,"{'name': 'SGD', 'alpha': 1e-06, 'momentum': 0.9}",7.0,9.49294689891705,1.8353831598864712,,,,,,,,,,,,,,,,,
24,ruby-smoke-8877,1xt9wapb,cuda,squad,14035.0,4,1629363959.0,24.0,f18723ccf36da20869bc91c2644fdeb1,4.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",76.0185497375657,2191.180460691452,3.0,logloss,1.2213405171187566,,bert_base_pretrained,"['f1', 'exact_match']",60.78037420518499,"{'momentum': 0.9, 'name': 'SGD', 'alpha': 5e-05}",7.0,80.64401865353885,70.08514664143803,,,,,,,,,,,,,,,,,
25,peach-sun-8877,17mbpymg,cuda,squad,14036.0,4,1629363960.0,24.0,f458b68da9d5559a9c14aca08fcd7eb6,1.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",79.22937733675276,2139.165999650955,3.0,logloss,1.0889779995551023,,bert_base_pretrained,"['f1', 'exact_match']",64.4630646468567,"{'momentum': 0.9, 'name': 'SGD', 'alpha': 0.0001}",7.0,82.56693653789212,72.4314096499527,,,,,,,,,,,,,,,,,
26,crisp-fog-8873,6yy04fxp,cuda,squad,13379.0,4,1629363297.0,24.0,b2e1d6d138051bc66cd9f7cf40b5e87a,2.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",63.86874536446283,2447.939938545227,3.0,logloss,1.7444501680975573,,bert_base_pretrained,"['f1', 'exact_match']",47.76766858069156,"{'name': 'SGD', 'alpha': 1e-05, 'momentum': 0.9}",7.0,68.39126935028976,55.54399243140965,,,,,,,,,,,,,,,,,
27,efficient-oath-8875,3fwp15o2,cuda,squad,13541.0,4,1629363459.0,24.0,b31e8b2e656039de0c9aba0589cda59a,4.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",86.80513380212791,2355.8509476184845,3.0,logloss,0.7784813290377811,,bert_base_pretrained,"['f1', 'exact_match']",74.16523019669174,"{'name': 'SGD', 'alpha': 0.0005, 'momentum': 0.9}",7.0,85.77843385205593,77.14285714285714,,,,,,,,,,,,,,,,,
28,decent-armadillo-8873,15aecua6,cuda,squad,13694.0,4,1629363612.0,24.0,c0663deda1c3d0bff5c86c39604443dc,0.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",64.34921383535033,2429.673966884613,3.0,logloss,1.7316823760722797,,bert_base_pretrained,"['f1', 'exact_match']",48.28023150949212,"{'name': 'SGD', 'alpha': 1e-05, 'momentum': 0.9}",7.0,68.94541435334581,55.76158940397351,,,,,,,,,,,,,,,,,
29,drawn-serenity-8874,14rdumvp,cuda,squad,13380.0,4,1629363298.0,24.0,bbe249e832c06d072b4a84b254f852db,2.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",75.89127499736964,2441.4599137306213,3.0,logloss,1.2056259272770418,,bert_base_pretrained,"['f1', 'exact_match']",60.62512129133894,"{'alpha': 5e-05, 'momentum': 0.9, 'name': 'SGD'}",7.0,80.06212808864007,69.55534531693472,,,,,,,,,,,,,,,,,
30,upbeat-wood-8869,3ctz42r8,cuda,squad,13557.0,4,1629363474.0,24.0,aaf727504d2f44c1092bad782b5fca48,3.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",63.40776508831761,2165.9383199214935,3.0,logloss,1.7751068726446984,,bert_base_pretrained,"['f1', 'exact_match']",47.26195504514891,"{'name': 'SGD', 'alpha': 1e-05, 'momentum': 0.9}",7.0,68.04090892714034,54.69252601702933,,,,,,,,,,,,,,,,,
31,neat-sea-8869,2piplhic,cuda,squad,13557.0,4,1629363474.0,24.0,a963b877039823610ca65f4944682f04,3.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",7.618132876894117,2168.1264011859894,3.0,logloss,4.68666510484124,,bert_base_pretrained,"['f1', 'exact_match']",1.2317492208815168,"{'alpha': 1e-06, 'momentum': 0.9, 'name': 'SGD'}",7.0,8.948526277635043,1.5610217596972564,,,,,,,,,,,,,,,,,
32,youthful-pyramid-8869,2h6k6w1d,cuda,squad,13827.0,4,1629363744.0,24.0,aa16ec3fd36b061e2da79b66a8004015,4.0,False,,"{'tgt_len': 384, 'doc_stride': 128}",8.602136442247891,2051.80536031723,3.0,logloss,4.653703162249397,,bert_base_pretrained,"['f1', 'exact_match']",1.5730773182342264,"{'name': 'SGD', 'alpha': 1e-06, 'momentum': 0.9}",7.0,9.8776787726564,1.598864711447493,,,,,,,,,,,,,,,,,
33,expert-leaf-8872,1ffnz0xj,cuda,squad,13557.0,4,1629363474.0,24.0,af2fea9c0cdfa134b742b5e0a25d9e66,0.0,False,,"{'doc_stride': 128, 'tgt_len': 384}",76.0648861247335,2181.8299477100372,3.0,logloss,1.2138856179655495,,bert_base_pretrained,"['f1', 'exact_match']",60.927636160230136,"{'name': 'SGD', 'alpha': 5e-05, 'momentum': 0.9}",7.0,80.31107917914582,69.60264900662251,,,,,,,,,,,,,,,,,
